token,avg_tfidf
ok,0.015910772736283614
ll,0.012082580283128187
come,0.010438738332266863
gt,0.010144593119669296
lt,0.010071476446705691
just,0.009520100505504621
good,0.009501787521777983
got,0.009380171127449214
home,0.009359165334364152
lt gt,0.009007795168318993
know,0.00882883188483229
sorry,0.008249611252027307
later,0.008169323500037505
lor,0.008162109648924745
like,0.00810008789322246
going,0.008090231016385858
da,0.007982742145524085
time,0.0076248872567385734
want,0.007232484250083721
love,0.00722830652705331
